date;year;month;day_of_week;weekend;state;region;city;age;occupation;family_members;temperature;rain;consume
19/08/2023;2023;8;6;1;italy;emilia-romagna;modena;23;student;4;30;0;840
20/08/2023;2023;8;7;1;italy;emilia-romagna;modena;23;student;4;32;0;845
21/08/2023;2023;8;1;0;italy;emilia-romagna;modena;23;student;4;36;0;850
22/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;35;0;855
23/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;30;0;860
24/08/2023;2023;8;4;0;italy;emilia-romagna;modena;23;student;4;31;0;865
25/08/2023;2023;8;5;0;italy;emilia-romagna;modena;23;student;4;31;0;870
26/08/2023;2023;8;6;1;italy;emilia-romagna;modena;23;student;4;36;0;875
27/08/2023;2023;8;7;1;italy;emilia-romagna;modena;23;student;4;33;0;880
28/08/2023;2023;8;1;0;italy;emilia-romagna;modena;23;student;4;31;0;885
29/08/2023;2023;8;2;0;italy;emilia-romagna;modena;23;student;4;31;0;890
30/08/2023;2023;8;3;0;italy;emilia-romagna;modena;23;student;4;35;0;895
31/08/2023;2023;8;4;0;italy;emilia-romagna;modena;23;student;4;35;1;900
01/09/2023;2023;9;5;0;italy;emilia-romagna;modena;23;student;4;27;0;905
02/09/2023;2023;9;6;1;italy;emilia-romagna;modena;23;student;4;24;0;910
03/09/2023;2023;9;7;1;italy;emilia-romagna;modena;23;student;4;25;0;915
04/09/2023;2023;9;1;0;italy;emilia-romagna;modena;23;student;4;24;0;920
05/09/2023;2023;9;2;0;italy;emilia-romagna;modena;23;student;4;24;0;925
06/09/2023;2023;9;3;0;italy;emilia-romagna;modena;23;student;4;24;0;930
07/09/2023;2023;9;4;0;italy;emilia-romagna;modena;23;student;4;28;0;935
08/09/2023;2023;9;5;0;italy;emilia-romagna;modena;23;student;4;27;0;940
09/09/2023;2023;9;6;1;italy;emilia-romagna;modena;23;student;4;26;0;945
10/09/2023;2023;9;7;1;italy;emilia-romagna;modena;23;student;4;26;0;950
11/09/2023;2023;9;1;0;italy;emilia-romagna;modena;23;student;4;27;0;955
12/09/2023;2023;9;2;0;italy;emilia-romagna;modena;23;student;4;26;1;960
13/09/2023;2023;9;3;0;italy;emilia-romagna;modena;23;student;4;25;0;965
14/09/2023;2023;9;4;0;italy;emilia-romagna;modena;23;student;4;26;0;970
15/09/2023;2023;9;5;0;italy;emilia-romagna;modena;23;student;4;28;0;975
16/09/2023;2023;9;6;1;italy;emilia-romagna;modena;23;student;4;28;0;980
17/09/2023;2023;9;7;1;italy;emilia-romagna;modena;23;student;4;26;1;985
18/09/2023;2023;9;1;0;italy;emilia-romagna;modena;23;student;4;25;0;990
19/09/2023;2023;9;2;0;italy;emilia-romagna;modena;23;student;4;24;0;995
20/09/2023;2023;9;3;0;italy;emilia-romagna;modena;23;student;4;25;0;1000
21/09/2023;2023;9;4;0;italy;emilia-romagna;modena;23;student;4;28;0;1005
22/09/2023;2023;9;5;0;italy;emilia-romagna;modena;23;student;4;24;0;1010
23/09/2023;2023;9;6;1;italy;emilia-romagna;modena;23;student;4;25;0;1015
24/09/2023;2023;9;7;1;italy;emilia-romagna;modena;23;student;4;26;0;1020
25/09/2023;2023;9;1;0;italy;emilia-romagna;modena;23;student;4;26;1;1025
26/09/2023;2023;9;2;0;italy;emilia-romagna;modena;23;student;4;27;0;1030
27/09/2023;2023;9;3;0;italy;emilia-romagna;modena;23;student;4;26;0;1035
28/09/2023;2023;9;4;0;italy;emilia-romagna;modena;23;student;4;25;0;1040
29/09/2023;2023;9;5;0;italy;emilia-romagna;modena;23;student;4;24;0;1045
30/09/2023;2023;9;6;1;italy;emilia-romagna;modena;23;student;4;24;0;1050
01/10/2023;2023;10;7;1;italy;emilia-romagna;modena;23;student;4;25;0;1055
02/10/2023;2023;10;1;0;italy;emilia-romagna;modena;23;student;4;25;0;1060
03/10/2023;2023;10;2;0;italy;emilia-romagna;modena;23;student;4;22;1;1065
04/10/2023;2023;10;3;0;italy;emilia-romagna;modena;23;student;4;23;0;1070
05/10/2023;2023;10;4;0;italy;emilia-romagna;modena;23;student;4;24;0;1075
06/10/2023;2023;10;5;0;italy;emilia-romagna;modena;23;student;4;20;0;1080
07/10/2023;2023;10;6;1;italy;emilia-romagna;modena;23;student;4;21;0;1085
08/10/2023;2023;10;7;1;italy;emilia-romagna;modena;23;student;4;21;0;1090
09/10/2023;2023;10;1;0;italy;emilia-romagna;modena;23;student;4;25;1;1095
10/10/2023;2023;10;2;0;italy;emilia-romagna;modena;23;student;4;25;0;1100
